Subcategory,Audio Name,Questions,Concerns,Emotions,Preferences
Pricing,1685084565.1005771.mp3,['What would be the price you are quoting for the apartment?'],"['Customer seems concerned about the pricing details of the apartment and wants to know the accurate price.', 'Customer also wants to ensure that the price is negotiable and is interested in booking an appointment for next Saturday.']",['The customer shows a level of familiarity with the area and seems to have prior knowledge about the project.'],['The customer prefers to receive the price details via WhatsApp.']
Pricing,58c2dbbcf16313e433e277890230179n.mp3,"['What are the base prices for 2BHK and 3BHK units?', 'What is the process for producing the product?']",,,
Pricing,1683014495.1846611.mp3,"[""What does 'Self Payment' mean in the context of the loan application?""]",['Impact of lower loan costs on future payments'],['Concern about the impact of loan costs on financial obligations'],"['Interest in exploring the impact of lower loan costs on future payments', 'Interest in understanding loan eligibility criteria and funding limits']"
Pricing,1686911050.413833.mp3,"['How much down payment will be required after booking?', 'What is the price of HFT at present?']",['Concern about the price of HFT and the deadline given to RERA'],['Confusion regarding the negotiation process and payment structure'],['Interest in negotiation and understanding the pricing structure']
Pricing,1683709547.662506.mp3,['Do we have any extra charges for the floor wise?'],,,
Pricing,1686720789.604045.mp3,['How much does SF10 cost?'],['Concern about the location premium and appreciation of the property'],"['There is a tone of curiosity and eagerness to know more about the project details and offerings', 'The customer seems concerned about the financial aspects and long-term benefits of investing in the project']","['Interest in pre-offer options and single tower projects', 'Preference for projects with good location premium and potential for appreciation', 'Interest in the pricing and budget details of the project']"
Pricing,1684474754.899294.mp3,['Can you explain the opportunities inside 2BHK-GBS2 and the pricing for that?'],['Customer was concerned about the base price and the progress of the project.'],,
Pricing,7116852fb781885db465a60f0f6c1781.mp3,['So what will be the costing for this 1900 overall?'],"['Customer is concerned about the pricing of the 3BHK apartment.', 'Customer is concerned about financial issues related to the project.']","['The customer appears to be focused on specific details such as pricing, balconies, and completion date.']",
Pricing,ff804bc9cd07fba925a14ea1635817cn.mp3,['How much does the property cost one year later after 2 years?'],"['Concern about the negotiation possibility for the property price', 'Concern about the payment process and reimbursement terms']",['Curiosity about the property details and offers'],"['Interest in understanding the payment terms and flexibility options', 'Preference for properties with flexible payment options and benefits']"
Pricing,48563c91ceb70c58e0caed97f46917ad.mp3,"['How much is the cash zone for Pre EMI, 5% or 10% down payment?']",,"['The customer seems satisfied with the information provided about possession dates and payment options', 'The customer appears to be thoughtful and considering various aspects before making a decision']",['Customer prefers to have a clear understanding of possession dates and project details before proceeding']
Pricing,30f144be412ef07d2d5b86bf4f0817c2.mp3,['How much is the flat?'],,,
Pricing,cb11def02068f4f2997748d9d5c617aj.mp3,"[""What's the rate of interest for that probably?""]","['Details on fees and payments', 'Terms and conditions of the offer', 'Refund process and percentage', 'Paying interest on the amount taken']","['Satisfaction with the conversation and information provided', 'Confusion regarding the payment terms and conditions', 'Curious about the loan process and interest rates', 'Interest in commercial and residential properties']","['Looking for information on property prices and availability', 'Interest in EMI offers and loan details', 'Inquiring about loan terms and conditions']"
Pricing,23d861525cc3cc4f89e0f53dfef3177k.mp3,['How much is the budget required for the new project?'],,['The customer needs more time to consider the offer.'],"['Customer is interested in exploring options within a budget that is not too high.', 'Customer prefers to take time to think before making a decision.']"
Pricing,1687081375.596328.mp3,"['Can I get a working sheet or something to understand the monetary aspects better?', 'Compared to upgrade, which option offers more balconies and space?']",['Concern about understanding the loan schemes and monetary aspects thoroughly'],,"['Customer shows interest in understanding the finance plan and payment schedule clearly', 'Customer prefers to have detailed information and working sheets to comprehend the monetary aspects better']"
Pricing,1682057553.944967.mp3,"['What is the type of construction and end product look like for Spire and Spectra?', 'Does the quoted price for the apartment in Spectra include GST, registration, and all other costs?']","['Clarifications on additional costs like GST, registration, and negotiation scope']","['The customer seems attentive and interested in understanding the details of the properties', 'There is curiosity and eagerness to know about the construction quality and end product appearance']","['Considering the rental income potential and future value appreciation in the selected location', 'Interest in negotiating the pricing and exploring options for additional features or benefits', 'Interested in visiting the model flat at Spire to understand the construction quality and end product appearance']"
Pricing,42b21b75e1caa7a50fc7c7c77242179e.mp3,"['How much is the total cost including amenities, is it close to 1.90 or 9?']","['Concern regarding loan options and charges', 'Negotiation on the base price and total cost', 'Interest part payment during under-construction phase']","['The customer appears to be cautious about financial implications and potential costs involved in the project.', 'The customer seems to be inquisitive and interested in exploring options based on budget and preferences.']",
Pricing,eac930245dfa686cd278dc7fccf517a3.mp3,['Which particular date is suitable for a visit between 16th and 20th of this month?'],,,
Pricing,1682753608.1338671.mp3,['If any of the independent villas or projects in Atlantic?'],"['Cost details and negotiability', 'Interest rates and reimbursement details', 'Clarity on final pricing and negotiations']","['Some level of skepticism or caution is observed when discussing costs and negotiations', ""Gratitude and politeness expressed by the customer with 'Thank You' at the end of the conversation"", 'There is a sense of curiosity and eagerness to learn more about the offerings and pricing']",['Seeking clarity on pricing and negotiation possibilities']
Pricing,183e662f79ec8b0b153ca1916ae51797.mp3,,"['Clarity on the pricing and additional charges', 'Understanding the payment structure for the property']","['The customer seems interested and engaged in the conversation, asking detailed questions and seeking clarification on various aspects of the property.']",['Preference for loan funding over self-funding']
Pricing,9b06d1e254f1afaafe9348e1102117a6.mp3,,['Uncertainty about the pricing and payment structure'],,['Interest in knowing about the pricing and payment options']
Pricing,3020b55d4d5a3ff6d645022a3d2117br.mp3,,"['Budget-friendliness of the chosen size of the property.', 'Concern about additional charges apart from the base price.', 'Understanding mortgage units and cash flow for down payment.', 'Negotiating prices for car parking and amenities.']","['Interest: shown in discussing budget-friendly options and negotiating prices.', 'Satisfaction: expressed through gratitude towards the end of the conversation.', 'Confusion: indicated by difficulty in finding browser link and understanding additional charges.']","['Desire to understand mortgage units and financial implications for a property purchase.', 'Preference for negotiating prices, especially in terms of car parking and amenities.', 'Interest in budget-friendly options for property size.']"
Pricing,9c96fcfe9347ad9a5f5e44ef11a317b2.mp3,,['Customer is concerned about the discount deadlines and pricing details.'],,"['Customer is interested in the specifics of the project like floor count, apartment sizes, and pricing details.']"
Pricing,2eb59febc7943a2436d0c147005d178b.mp3,,"['Concern about negotiating the charges and understanding the project better through a site visit', 'Concern about the pricing per square foot']",['Interested in the pricing details and negotiation possibilities'],"['Preference for clarity on the pricing and charges before making a decision', 'Preference for negotiating prices and charges for the property']"
Pricing,1685336846.21197.mp3,,['Details regarding the funding and loan options'],['Interest and engagement in discussing funding and loan options'],['Interest in funding options and loan details']
Pricing,dc4c6da7e6b4ffb11d24ac9b273217ab.mp3,,"['Customer concerns about the total cost, seeking clarification if government stamp and GST are included or separate.']",,"['The customer indicates a preference for fixed price negotiation rather than variable pricing.', 'The customer prefers to have all the amenities included in the total cost of the property.']"
Pricing,6fef95140032e4c8e68d70cb82b717b5.mp3,,"['Lower floor has a decrease in price, higher floor has an increase in floor charge']",['The customer seems interested and engaged in understanding the project details and pricing'],"['The customer values clear communication and understanding of the unit availability', 'The customer is interested in receiving detailed floor plans and pricing information before making a decision']"
Pricing,96d385e8301a865e65668e44017517cr.mp3,,['Customer is concerned about the cost variation based on the floor of the apartment.'],['The customer appears eager to get specific information about corner flats and floor rising costs.'],['The customer prefers to be directly contacted by the salesperson to forward all details.']
Pricing,1680344549.1698565.mp3,,"['Customer showed concern about the additional charges like car parking, infrastructure charges, GST, maintenance, corporate moving charge, and documentation.']",,['Customer preferred to receive all the details about the project before the visit.']
Pricing,1684902583.462799.mp3,,['Estimated cost is 1 crore 67 lakhs inclusive of all charges except registration'],"['Engaged in discussing the features and offers', 'Curious about the property details and offerings']",['Appreciative of the information provided and wishes a great day']
Pricing,c028b350faee862d031c7034067d177d.mp3,,['Pre-EMI offers and reimbursement details'],"['Satisfaction with the reimbursement period', 'Confusion about availability and preferences']",
Pricing,1680252308.1524494.mp3,,['Detailed process of the project'],,
Pricing,2506b0f916570da3fae5ac2daf1b1795.mp3,,['Concern about the cost and offers available for the apartments'],,['Interested in knowing the cost sheet and availability of the apartments']
Pricing,1681191141.210732.mp3,,['Customer is concerned about misleading current prices due to additional charges like GST'],"['Customer shows a level of caution and skepticism towards additional charges that may increase the final price', 'Customer appears satisfied with the information provided about the construction progress and pricing details']",['Customer prefers to have a clear understanding of the final price without any misleading information due to additional charges like GST']
Pricing,387314afa11a591b0a3ed072881617cm.mp3,,['Understanding the payment schedule for the bookcase'],,
Pricing,3dcc77858bb5469bf1ad6cb1343d179q.mp3,,['Concern about the financial implications of purchasing a property in Hyderabad while also considering a property in Bangalore.'],['The customer seems curious about the budget and specifications of the flat.'],
Pricing,fe535da58e2ffdc8dd11fe3d1c211777.mp3,,,"['Understanding of the sales process and agreements', 'Curious about location and pricing']",
Pricing,d167232a21d31907647f9570b2fe1781.mp3,,,"['Satisfaction with meeting arrangements', 'Curiosity about project details and pricing']",
Pricing,54815578debf2aa17153ca4e0a8f17b3.mp3,,,['The customer might be considering the financial aspects and value proposition of the apartment based on the pricing details discussed.'],['Preference for a project with early handover and additional offers like pre EMI schemes.']
Pricing,1684401675.765035.mp3,,,['Customer is considering various options and weighing the pros and cons carefully'],['Value an open view from the flat']
Pricing,d4624682fcaea9357a80c08d7a1217b2.mp3,,,"['The customer seems to be inquisitive about financial aspects and income details for reference', 'There is a sense of urgency in wanting to know about the construction progress and completion timeline']",
Pricing,6bcaa1d5be01cb86f07590ccb996179r.mp3,,,['Apprehensive about the potential price hike after the festival season'],['Prefers flexible payment terms']
Pricing,1685685924.1020252.mp3,,,['The customer appears to be confused about the need for a loan from builders and the cost of the floors in the apartment'],"['Preference for clarity on the timing of the flat being cashed in the market', 'Interest in knowing the cost of the floors in the apartment']"
Pricing,1682584636.869825.mp3,,,['There is a sense of uncertainty and confusion from the customer regarding certain aspects of the project details.'],['The customer is looking for specific information about the project before making a decision to purchase.']
Pricing,1680699619.539389.mp3,,,,['Customer prefers to have a clear understanding of the pricing and payment options available.']
Pricing,1684144423.125720.mp3,,,,"['Interest in knowing the details about the pricing and offers available in the project', 'Interested in exploring the different options available in Spire & Spectra for potential purchase or investment']"
Pricing,328537d41c1429bb3786779befbd178j.mp3,,,,['Interest reimbursement is a key preference for the customer during construction.']
EMI & Loan,3c8aa68922c0287de7710ef25a68177k.mp3,"['What is the pre-EMI offer for a home loan?', 'Is it possible to pay 10% now, another 10% after 18 months, and the rest through a home loan?', 'What is the payment milestone after paying 10% upfront?']","['Concerns about the budget bracket and property sizes available.', 'Concerns about the payment schedule and milestones for the property purchase.']",['Confusion about the payment milestones and schedule for the property purchase.'],['Interest in understanding the pre-EMI offer for a home loan.']
EMI & Loan,1686201523.797234.mp3,['What do you offer regarding the pre EMI offer?'],"['Interest charges for the milestone payments', 'Clarification on the pre EMI offer']","['Concerned about the high rate charges and other additional costs', 'Engaged in understanding the milestone payment scheme and tower progress', 'Slightly hesitant about the bank loan process and pre EMI offer']",
EMI & Loan,2506b0f916570da3fae5ac2daf1b1795.mp3,"['Can you please send me the cost sheet and availability for each facing apartment?', 'What is the minimum EMI amount when 80% loan is taken?']",['Concern about the position and deadline for the property'],,['Prefer clear communication and details regarding the property']
EMI & Loan,42b21b75e1caa7a50fc7c7c77242179e.mp3,"['Will you be opting for a loan or self-funding?', 'What kind of requirements do you have for the flat?']","['Concern regarding loan options and charges', 'Interest part payment during under-construction phase']","['The customer appears to be cautious about financial implications and potential costs involved in the project.', 'The customer seems to be inquisitive and interested in exploring options based on budget and preferences.']","['Preference for a budget-friendly option around 1.2 to 1.5 for the flats.', 'Interest in exploring different locations and amenities before making a decision.']"
EMI & Loan,48563c91ceb70c58e0caed97f46917ad.mp3,"['How much is the cash zone for Pre EMI, 5% or 10% down payment?', 'With whom do I need to deposit the money for it and with which bank are they associated?']","['Concern about down payment percentages and repayment schedule', 'Concern about available financing options and associated banks']",['The customer seems satisfied with the information provided about possession dates and payment options'],
EMI & Loan,1680943200.980247.mp3,"['How much is the rate?', 'So monthly EMI from our pocket till possession, how much will it be?']","['Concern about the monthly EMI payments till possession', 'Trouble in understanding the cost and rates of the property']","['Confusion regarding the cost, rates, and payment structures', 'Interest in understanding the financial aspects and future projections of the property']","['Considering options for home loan and approval', 'Interested in the details of the property cost, rates, and financial terms']"
EMI & Loan,1688303734.1052694.mp3,"['What are the documentation charges and details about the offer called pre EMI?', 'What are the charges for amenities, car parking, and infrastructure?', 'What are the additional charges apart from the square feet area?']",,['The customer seems interested and engaged in the conversation as they provide detailed requirements and ask various questions about the property.'],['The customer is interested in knowing details about the pre EMI offer and pricing information.']
EMI & Loan,c3c0c327152a62d6ee4840de9fdb179f.mp3,"['Is the Financial District a planned location?', 'Can you share with me the details of Bajat Finance?', 'What is the rate for finance?']","['Concern about the pricing and affordability within budget constraints', 'Desire for discounts or negotiation on the property price']","['Skepticism towards financial schemes like Bajat Finance', 'Frustration with the lack of clarity on pricing and benefits', 'Confusion regarding pricing structure and affordability']","['Preference for avoiding Bajat Finance and opting for traditional banking', 'Interest in knowing the handover timelines of the properties', 'Desire for clarity and confirmation on the planned location of the Financial District', 'Preference for transparent information on finance rates and options', 'Interest in getting a discount or better pricing for the property']"
EMI & Loan,05ffc24e7a9065de437e8804399817c2.mp3,"['Is there a pre EMI offer available?', 'What will be the price if paid in full upfront?']","['Details about the pre EMI offer', 'Concern about the pricing and any additional charges for full upfront payment']",['The customer appears to be evaluating different payment options'],"['Expressed interest in the unit sizes available', 'Interested in knowing about the availability of a pre EMI offer', 'Interested in understanding the pricing for full upfront payment']"
EMI & Loan,1684144423.125720.mp3,['Will there be a reimbursement of EMI till March 2024?'],['Confusion regarding the reimbursement of EMI and project handover timeline'],['Curiosity about the different types of units available in the project'],['Interested in exploring the different options available in Spire & Spectra for potential purchase or investment']
EMI & Loan,1683093964.2015558.mp3,"['What are the details about the available units?', 'What is the payment process for the property?', 'How is the payment structured with regards to the home loan?']","['Negotiation possibilities', 'Clarification on the payment structure and interest reimbursement']","['Interest in the available units', 'Interest in negotiation and exploring further options']","['Interest in specific unit sizes (1980 and 2210)', 'Preference for East-facing units']"
EMI & Loan,f85edfc60598cc9fbee814cfd47017am.mp3,"['When will the remaining 10% be paid after the initial payments?', 'How much should be the payment structure?']",['Confusion about the payment structure and installment plan'],"['Interest in understanding the reputation of the builder and the quality of construction', 'Enthusiasm about the site location and the potential purchase', 'Confusion regarding the payment structure and installment details']",['Desire for detailed information about the payment structure and installment plan']
EMI & Loan,1683014495.1846611.mp3,"[""What does 'Self Payment' mean in the context of the loan application?"", 'Can other co-applicants be added to the loan application?', 'How many days are considered in the take-home salary for loan eligibility?', 'How can income increment impact loan eligibility?', 'What are the sources of revenue apart from the current income?']","['Impact of lower loan costs on future payments', 'Limited loan availability', 'Doubts regarding loan eligibility']","['Concern about the impact of loan costs on financial obligations', 'Confusion about loan eligibility criteria and processes', 'Hope for increased loan eligibility based on income growth', ""Anxiety about father's income stability and its impact on loan eligibility"", 'Uncertainty about the stability of income sources']","['Preference for clear information on income sources and stability', 'Interest in exploring how income increment can enhance loan eligibility', 'Interest in exploring the impact of lower loan costs on future payments', 'Interest in understanding loan eligibility criteria and funding limits']"
EMI & Loan,183e662f79ec8b0b153ca1916ae51797.mp3,"['Are you going for this self funding or loan?', ""Do you have any idea of Pacifica's interest in financial statistics?""]",['Understanding the payment structure for the property'],"['The customer seems interested and engaged in the conversation, asking detailed questions and seeking clarification on various aspects of the property.', 'The customer appears to be focused and attentive, making decisions regarding the funding options and floor preferences.']",['Preference for loan funding over self-funding']
EMI & Loan,1687081375.596328.mp3,"['Can I get a working sheet or something to understand the monetary aspects better?', 'Is it possible to put these loan schemes on paper?']","['Concern about understanding the loan schemes and monetary aspects thoroughly', 'Concern about the finance plan and payment schedule clarity']",['Customer seems satisfied with the information shared and appreciative of the assistance provided'],"['Customer shows interest in understanding the finance plan and payment schedule clearly', 'Customer prefers to have detailed information and working sheets to comprehend the monetary aspects better']"
EMI & Loan,a71f34dd483a8f25d643228789d2179j.mp3,"['Can I pay 20% initially and the remaining 80% in EMIs?', 'What are the payment options?']",['Payment options and schedule'],['Customer is seeking clarity on payment options and schedule'],['Preference for a payment plan with initial down payment and subsequent EMIs']
EMI & Loan,6bcaa1d5be01cb86f07590ccb996179r.mp3,"['After the idea is to start or just researching on those?', 'Regarding availability or do you want?', 'Have you heard about the pre EMI offer?']",['Uncertainty about the timeline for purchasing'],,"['Interested in the availability and details of the units', 'Interested in the pre EMI offer', 'Prefers flexible payment terms']"
EMI & Loan,cb11def02068f4f2997748d9d5c617aj.mp3,"[""What's the rate of interest for that probably?"", 'What do i need?', 'Which banks sponsor your loan and how much does it cost?']","['Details on fees and payments', 'Paying interest on the amount taken']","['Curious about the loan process and interest rates', 'Interest in commercial and residential properties']","['Looking for information on property prices and availability', 'Interest in EMI offers and loan details', 'Inquiring about loan terms and conditions']"
EMI & Loan,fe535da58e2ffdc8dd11fe3d1c211777.mp3,['Is there any other offers going on like pre-EMI kind of?'],,['Understanding of the sales process and agreements'],"['Interest in pre-EMI offers', 'Desire to view brochure and floor plans']"
EMI & Loan,1685685924.1020252.mp3,"['Why do builders ask for a loan?', 'Can you guide me about the investment being better or the land?', 'Will closing the two old loans affect me in any way?', 'Will rejecting three more loans have a negative impact?']","['Concern about rejecting more loans and its negative impact', 'Concern about the impact of closing old loans', 'Concern about the uncertainty of when the flat will be given', 'Concern about the need for a loan from builders']","['The customer expresses hope and readiness for future plans and investments', 'The customer appears to be confused about the need for a loan from builders and the cost of the floors in the apartment', 'The customer seems to be anxious about the impact of closing old loans and rejecting more loans']","['Preference for clarity on the timing of the flat being cashed in the market', 'Interest in guidance regarding investments and choosing between options']"
EMI & Loan,51c101a3e5d6b736215cec21ff4d1797.mp3,"['When do we pay for this?', 'How much is the interest rate?', 'What are your plans regarding pre-MI and return on interest?']","['Concern about the payment for M&A and development', 'Concern about the interest rate', 'Concern about the pre-MI and return on interest plans']","['The customer seems curious and engaged in understanding the financial aspects of the property investment.', 'The customer appears to be seeking clarity and reassurance regarding the financial implications and returns on investment.']",['The customer prefers to receive detailed information and explanations regarding the financial aspects of the property investment.']
EMI & Loan,ff804bc9cd07fba925a14ea1635817cn.mp3,"['How big is the property in the financial district area?', 'Is the property rate in financial district increasing rapidly?', 'How do they get interest?']",['Concern about the payment process and reimbursement terms'],"['Interest in the history and profile of Ashoka Builders India Private Limited', 'Curiosity about the property details and offers']","['Interest in understanding the payment terms and flexibility options', 'Preference for properties with flexible payment options and benefits', 'Preference for detailed information about the property and its history']"
EMI & Loan,d7601ec5e0bc3f5b9a073e60df57179d.mp3,"['Can loans be obtained from other banks as well?', 'Is it necessary to have HMDA or RERA approval?']",['Concern about the availability of loans from multiple banks'],"['Desire to explore options for obtaining loans from multiple banks', 'Interest in negotiating the price']",['Preference for locations with HMDA or RERA approval']
EMI & Loan,ce535a0362e46630c0a3a392db5d17c1.mp3,"['Is there a specific rate for different floors in the building?', 'Is the interest paid separately?', 'What exactly is included in the offer?']",['Confusion about the details of the offer and interest payment'],['Confusion regarding the offer and interest payment'],['Interest in understanding the details of the offer and interest payment']
EMI & Loan,1682057553.944967.mp3,"['Is the 20% down payment based on the loan amount or a fixed percentage?', 'How is the down payment being bifurcated based on loan eligibility?']","['Clarifications on additional costs like GST, registration, and negotiation scope']",,['Interest in negotiating the pricing and exploring options for additional features or benefits']
EMI & Loan,1684488091.980635.mp3,"['How much amount does each installment cost?', 'What do we need these phone numbers for?', 'How many flats do you have?']",,"['Appreciation and satisfaction towards the information provided by the agent.', 'Expectation for offers or discounts on the property.']","['Preference for interest reimbursements and loan payment options.', 'Interest in payment plans and options for settling payments.']"
EMI & Loan,1681626075.1082396.mp3,"['What is your budget?', 'What all requirements do you have in mind regarding the area of your budget?']",['Customer preference and satisfaction with the deal offered.'],,
EMI & Loan,3fad0ef1e0df3f008a9e35c3214d178b.mp3,"['Will bank consider it as a moratorium period or we need to pay interest right from day one even if financial risk?', 'So what is the president I mean for The Bank loan?']","['Customer is seeking clarity on the PMI offer and interest payments during the construction period', 'Customer is concerned about the bank loan process and interest rates']","['The customer seems inquisitive and eager to understand the terms and conditions related to the project and loan options', 'The customer appears to be cautious and concerned about the financial aspects of the project and bank loan']",
EMI & Loan,81e8f9f48a451631f864b1bb91e217ad.mp3,"['What is the payment process?', 'Can you provide information on the registration charges?', 'Is there any room for negotiation if more is paid in installments?']","['Possibility of negotiation on installment payments', 'Details about the payment process', 'Understanding of included amenities']","['The customer seems interested in the project details and is seeking clarity on various aspects like registration charges, amenities, project completion date, payment process, and negotiation options.', 'The customer appears to be considering the purchase seriously as they are inquiring about specific details related to the property and payment terms.']","['Interest in the payment process involving initial booking amount and bank loan dispersal', 'Possibility of negotiating payments in installments', 'Interest in understanding the registration charges']"
EMI & Loan,1680865155.847365.mp3,"['If there was any difference in my investment, can principal plus interest be considered?']",,['Interest in understanding the refund policy'],
EMI & Loan,1683709547.662506.mp3,['Are you looking for East Facing or West-facing Mam?'],,['Interest and concern about the modern flat availability'],
EMI & Loan,e7424e3198d11727a8822aba096e179g.mp3,['Do you need that information?'],,,['Interested in negotiable options']
EMI & Loan,4350091c8e9352103dc6f7106d22177l.mp3,"['Why is the interest reimbursement at 90% and not 100%?', 'Will there be any amenity charges?', 'If I pay 50 lakhs upfront, will there be any benefits?', 'Can the pricing for Spectra be discussed?']","['Explanation for interest reimbursement at 90%', 'Clarity on benefits of upfront payment', 'Details about amenity charges']","['Doubt regarding interest reimbursement percentage', 'Interest in apartment sizes and pricing', 'Determination to understand pricing and amenities', 'Confusion about amenity charges and upfront payment benefits']","['Prefers detailed explanations on interest reimbursement', 'Prefers clarity on pricing negotiability and Spectra amenities', 'Wants to know about amenity charges and upfront payment benefits']"
EMI & Loan,38ba9dc20e9dc9609e8bfad2d87317ao.mp3,"['Which banks are providing loans for the property?', 'Are there two properties being discussed?']",['Concerns regarding loan providers for purchasing the property'],"['The customer might be cautious about the loan process, considering the discussion on tied-up banks and past experiences with delayed responses.']","['Interest in knowing about the loan options and tie-ups with banks', 'Interest in understanding the specifics of the apartment layout, size, and pricing']"
EMI & Loan,6b51fad8dd3682a8d8b6bccb0d9a17af.mp3,['What are the payment terms for the project?'],,,
EMI & Loan,1685702837.1134282.mp3,['Which facings flats are available in your plan?'],,['Customer appears interested in the property details and pricing'],
EMI & Loan,0db5ec5ba188d59ea5d0c2e4765417b6.mp3,"['When is the due date for the property?', 'Do you have a payment schedule available?']","['Requesting for a cost breakup and payment schedule', 'Seeking information about the property', 'Clarification on pricing and negotiation terms']","['Seems interested in understanding the payment schedule and possession date', 'Slightly confused about pricing terms and pre-EMI scheme', 'Curious and inquiring about property details']",['Requesting for additional information on premium partners']
EMI & Loan,1687011856.505256.mp3,['What are the charges for each thing?'],['Want to know if the charges are negotiable'],,
EMI & Loan,23d861525cc3cc4f89e0f53dfef3177k.mp3,['Can you tell me about budgets that are not completely out there?'],['Need more time to think before making a decision.'],,
EMI & Loan,1685862968.1429923.mp3,"['Can I understand what exactly your requirement is?', ""So you'll bank with whatever amount which we have to pay?""]",['Payment plan details and stages of construction'],['Interested in the payment plan details and construction progress'],"['Interested in knowing the price range first before making a decision', 'Prefers detailed explanation and stages of the payment plan']"
EMI & Loan,1679725788.3850808.mp3,['Are all other national banks covered for bank loans?'],['Customer concerns about bank loan options and tie-ups with national banks'],['Customer seems inquisitive about bank loan processes and tie-ups'],['Customer prefers detailed discussions on options and bank loan processes during the site visit']
EMI & Loan,1684038828.1385108.mp3,['Have you seen the Pre-EMI Offer in Westside?'],['Cost of the project and the pre-EMI offer details'],['Interest in the cost and pre-EMI offer'],['Enquiring about the cost and pre-EMI offer']
EMI & Loan,1681452342.778856.mp3,['How is the rate?'],['Confusion about the pricing and changes in rates'],"['Curiosity in exploring the available options and rates', 'Interest in the investment offer', 'Confusion regarding the project details and pricing']",['Interest in investment opportunities']
EMI & Loan,9b06d1e254f1afaafe9348e1102117a6.mp3,"['What is the payment plan like?', 'Should we pay it now itself at 90% already?']",['Uncertainty about the pricing and payment structure'],,['Interest in knowing about the pricing and payment options']
EMI & Loan,a1f69906c0ff06dbbbb6da18fce117a6.mp3,"['Do you use 3BHK apartment for the Financial District?', 'Are these investments or for staying purposes?']",['Question about the purpose of the investment.'],['The customer seems interested and engaged in the conversation as they ask several questions and seek clarification on various aspects of the property.'],"['Preference for a 3BHK apartment in the Financial District.', 'Mention of interest in pre EMI offers and common area facilities.', 'Interest in specific sizes of apartments, such as 95 or 80 sq ft.']"
EMI & Loan,7b4f0b6d01330b2f5e8514b064f917ae.mp3,['Are there any specific amenities provided?'],['Concerns about the interest paid during the under-construction period'],['Interested in the pre-EMA offer'],
EMI & Loan,42dc1cbd9e8e086377354db3d6ad17cf.mp3,"['What does the No Pre-MI Offer entail?', 'How many towers are there in the financial district?', 'Is the price inclusive of GST, amenity prices, car parking, corporate fund, and maintenance?']","['Concern about the No Pre-MI Offer and its terms', 'Concern about the payment plan and installment details', 'Concern about the number of towers in the financial district', 'Concern about the payment structure for amenities', 'Concern about the overall pricing and additional costs']","['Curious and inquisitive about the details of the property', 'Engaged in discussing the pricing and payment details', 'Seeking clarification on various aspects of the property', 'Keen on getting a clear picture of the amenities and their costs', 'Focused on understanding the terms and conditions of the offer', 'Interested in the investment aspect of the property']","['Interest in the details of the No Pre-MI Offer', 'Interest in direct payment over mortgage for investment purposes']"
EMI & Loan,1682323064.107231.mp3,['Do you have any suggestions on the pricing considering it from an investment point of view?'],"['Concern about the location and aspects of the property', 'Concern about investment perspective and seeking a more lucrative option']",,['Preference for investment perspective and higher appreciation']
EMI & Loan,1686911050.413833.mp3,"['How much down payment will be required after booking?', 'When are we going to make the next payment?']",['Concern about the down payment amount and payment schedule'],['Confusion regarding the negotiation process and payment structure'],['Interest in negotiation and understanding the pricing structure']
EMI & Loan,1682753608.1338671.mp3,['Did you inquire about buying 2BHK or 3BHK?'],"['Interest rates and reimbursement details', 'Cost details and negotiability', 'Clarity on final pricing and negotiations']",,['Seeking clarity on pricing and negotiation possibilities']
EMI & Loan,387314afa11a591b0a3ed072881617cm.mp3,['Should I pay extra by paying these two cars together to make it more expensive?'],,['Anxious about making extra payments for car parking'],
EMI & Loan,2b7a03b7533bf574c95e543b88a117b3.mp3,['Is the price negotiable or fixed?'],,,
EMI & Loan,1678790823.2692681.mp3,['What are moving charges for?'],,['Interest in the location details and connectivity'],"['Preference for transparent maintenance and additional charges disclosure', 'Interest in knowing the location details and connectivity options', 'Preference for clear pricing information and breakdown']"
EMI & Loan,d685bc133e1b1c900a48e141d8331779.mp3,['What is the premium towers in that?'],"['Confusion regarding the amenities and negotiation options.', 'Understanding the payment process and offers for under-construction projects.', 'Negotiating on the pricing and possible discounts.', 'Clarification on the available towers and their specific features.']","['Confused about the refund process and interest payments.', 'Interested in understanding the payment process and offers available.', 'Concerned about the pricing and negotiation options.', 'Curious about the premium towers and their features.']","['Interest in negotiating the pricing and exploring possible discounts.', 'Preference for understanding the payment process and offers available.', 'Interest in specific towers and their features.']"
EMI & Loan,d4624682fcaea9357a80c08d7a1217b2.mp3,"['Are they looking at it as financial district?', 'How many floors are those?']","[""Seeking details about Amazon's income for reference"", 'Request for financial history']",['The customer seems to be inquisitive about financial aspects and income details for reference'],
EMI & Loan,1681191141.210732.mp3,"[""Would we have such options here as well where they didn't charge anything for the floor rise and other things?""]",,,
EMI & Loan,7116852fb781885db465a60f0f6c1781.mp3,"['I am looking for a ready-to moving or future also upcoming projects, do you have those?']",['Customer is concerned about financial issues related to the project.'],"['The customer appears to be focused on specific details such as pricing, balconies, and completion date.']",
EMI & Loan,f222414b3ba5e3e25e54cd1403f517c6.mp3,['Have you inquired about ASBL Loft near the financial district?'],,,"['Interest in the ASBL Loft project near the financial district.', 'Interest in discussing further details and potential call scheduling.']"
EMI & Loan,2fa3c88bc54e994f1ff2153348f917cb.mp3,['What does your position have in mind for such projects?'],,,
